gid	variance	mutual_info	anova_f	anova_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000127720	0.039822548006509	0.020543239427548432	5.439827512230249	0.004490706206443848	False	True	True
ENSG00000179104	0.03733913701137162	0.019714351300718524	4.4066964147736005	0.01247167534117097	False	True	True
ENSG00000049130	0.0367825531085456	0.01690925023824641	5.558521785845427	0.003994078014099357	False	True	True
ENSG00000111716	0.05790833575366208	0.030496521868297544	11.61829543403133	1.0498443965565801e-05	False	True	True
ENSG00000172572	0.059268423443007076	0.04668913148668574	15.02096974019554	3.8699460619657933e-07	True	True	True
ENSG00000139155	0.05966416365524931	0.04668913148668574	15.020969740195495	3.869946061966178e-07	True	True	True
ENSG00000111700	0.060148746568460996	0.04305619491930823	14.390333991941858	7.120983156419555e-07	True	True	True
ENSG00000257046	0.05937131472096409	0.04078847793804963	13.54169127953417	1.620018573742173e-06	True	True	True
ENSG00000013503	0.0384637763907915	0.010585657926840852	5.591976613641772	0.003864319741915941	False	True	True
ENSG00000111783	0.037532635758291764	0.009303957825271603	4.663942953032895	0.00966871480357257	False	True	True
ENSG00000111339	0.07751269283494329	0.04106366954582463	15.665105964344194	2.077720222551838e-07	True	True	True
ENSG00000139146	0.0429377690390235	0.049663137924222944	5.965777260569216	0.002672291364003985	False	True	True
ENSG00000111445	0.03142271555261572	0.0045251843315716744	4.426234127357644	0.012232799016080693	False	True	True
ENSG00000176871	0.03142271555261572	0.0045251843315716744	4.426234127357644	0.012232799016080693	False	True	True
ENSG00000176834	0.031119460980228084	0.003700662137050781	3.8598181469186432	0.021437414991454507	False	True	True
