"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000038358"	"EDC4"	-6.3232098115562	6.23756537963266	-81.1621496316519	0	0	813.043943718547
"ENSG00000039123"	"MTREX"	-6.09160333475422	6.09634773353084	-78.773980149263	0	0	794.181241951574
"ENSG00000039650"	"PNKP"	-6.16842203046292	6.26992070302845	-107.870904792043	0	0	997.237421646885
"ENSG00000040933"	"INPP4A"	-7.90132816303562	7.92291352161428	-87.8668696946779	0	0	863.588016165612
"ENSG00000041357"	"PSMA4"	-6.64863331034765	6.63739454589318	-82.34729179269	0	0	822.238562616646
"ENSG00000041802"	"LSG1"	-5.79194864862994	5.83927103873159	-89.1276276527699	0	0	872.800886033997
"ENSG00000042445"	"RETSAT"	-6.07837342565663	5.91811229889162	-100.516149232587	0	0	950.83119733722
"ENSG00000042753"	"AP2S1"	-4.99476119175464	4.8346229740099	-72.0298901977974	0	0	738.248236258851
"ENSG00000043093"	"DCUN1D1"	-5.64156531525621	5.56578245676961	-78.0306677185604	0	0	788.187386776271
"ENSG00000044090"	"CUL7"	-6.28412671302093	6.31868761433786	-85.0720676470989	0	0	842.967880800674
"ENSG00000044115"	"CTNNA1"	-6.92140472928993	6.8453425650058	-102.118065933869	0	0	961.208551612321
"ENSG00000044574"	"HSPA5"	-11.5235537182573	11.4145728501566	-103.692348893675	0	0	970.345827697677
"ENSG00000047056"	"WDR37"	-4.78385620179311	4.70832369399392	-80.2919042000428	0	0	806.04089853908
"ENSG00000047188"	"YTHDC2"	-5.82097713018227	5.9328395709242	-103.435682983892	0	0	969.598080717693
"ENSG00000047315"	"POLR2B"	-6.92842080370331	6.85914460617163	-112.859784447733	0	0	1027.10431018592
"ENSG00000047346"	"ATOSA"	-8.27601981253857	8.05068710610862	-77.6839534107447	0	0	785.377264650002
"ENSG00000047410"	"TPR"	-7.66697927642457	7.53763546299852	-98.3188432004429	0	0	936.362654916044
"ENSG00000047849"	"MAP4"	-7.02111820175107	6.92296653641968	-77.6554511851559	0	0	785.190660422715
"ENSG00000048140"	"TSPAN17"	-5.12621444671254	5.18021930079914	-86.8793429232576	0	0	856.302413299033
"ENSG00000048471"	"SNX29"	-6.20869446328512	6.22206401860225	-73.3098992646746	0	0	749.256103650843
"ENSG00000048544"	"MRPS10"	-4.94822672361829	4.86968504968899	-72.9679001003432	0	0	746.261180314218
"ENSG00000048649"	"RSF1"	-5.62970187183004	5.80148423805327	-72.2167515751276	0	0	739.946024566437
"ENSG00000048707"	"VPS13D"	-5.67902493809998	5.79728554234176	-81.1087124640631	0	0	812.612677237325
"ENSG00000048828"	"FAM120A"	-7.99040290610256	8.03564314859227	-149.189637433698	0	0	1213.47816690396
"ENSG00000048991"	"R3HDM1"	-6.06881063792467	6.0502245529594	-85.8931523173972	0	0	849.098929615348
"ENSG00000049239"	"H6PD"	-5.87198252667521	5.97916012309012	-78.782692874639	0	0	794.250089268063
"ENSG00000049245"	"VAMP3"	-6.16688984600129	5.99390928629318	-88.8370436945719	0	0	870.70420082746
"ENSG00000049618"	"ARID1B"	-6.45966734335784	6.5851053643119	-82.2069811328257	0	0	821.155950714995
"ENSG00000049656"	"CLPTM1L"	-9.71956600483423	9.66670663267291	-113.10802432163	0	0	1028.00473021331
"ENSG00000049860"	"HEXB"	-7.34492555171802	7.07505368233688	-74.3329431734449	0	0	757.861643140699
"ENSG00000050130"	"JKAMP"	-5.42174771849233	5.46131485679078	-76.2152460272714	0	0	773.427830291987
"ENSG00000050393"	"MCUR1"	-5.90531161994231	5.80264605854776	-74.087157006158	0	0	755.793244406801
"ENSG00000050426"	"LETMD1"	-5.66298303842988	5.84576326735965	-82.5860032024088	0	0	824.058195045064
"ENSG00000050748"	"MAPK9"	-5.67215219693545	5.60533237504197	-98.3625260285837	0	0	936.643518468627
"ENSG00000051009"	"FHIP1B"	-5.96084066394089	6.07582704032847	-84.8348803926581	0	0	841.181259744168
"ENSG00000051108"	"HERPUD1"	-10.7649693899044	10.4804479302186	-95.9366154276544	0	0	919.934967831551
"ENSG00000051523"	"CYBA"	-9.62773444003077	9.5453644464927	-84.0935635583431	0	0	835.355413280208
"ENSG00000051620"	"HEBP2"	-5.88390496222237	5.72208225830499	-72.8414727319068	0	0	745.267132256285
"ENSG00000052841"	"TTC17"	-7.58211532633482	7.56502585136785	-140.021936878847	0	0	1170.96806945792
"ENSG00000053254"	"FOXN3"	-7.10936762019203	7.21143967069161	-76.7473840568939	0	0	777.804999755179
"ENSG00000053770"	"AP5M1"	-5.38825385826512	5.5025356268732	-76.7212434531673	0	0	777.571661084274
"ENSG00000053900"	"ANAPC4"	-5.0462125097208	5.18633429357779	-85.3653243217863	0	0	845.079111074123
"ENSG00000054116"	"TRAPPC3"	-5.77753255810523	5.70614756459094	-131.193570351479	0	0	1127.30045148973
"ENSG00000054118"	"THRAP3"	-6.72518884902638	6.68035252495106	-104.379812041362	0	0	975.586896911445
"ENSG00000054148"	"PHPT1"	-6.10439765494342	6.12470510671777	-77.4709993210223	0	0	783.698571344465
