p_values p_values_bf p_values_BH freq
IGH...ext..ITGB7 2.10282603595293e-48 1.15445149373816e-45 2.8861287343454e-46 0
IGH...ext..PSAP 0.690143659331323 1 0.838909625154315 1
IGH...ext..FBXW4 0.213954898061235 1 0.75295666048473 2
AL445985.1..SPATA13 0.379566118257675 1 0.78073851507856 3
AL359894.1..LRRC7 0.379566118257675 1 0.78073851507856 3
FOSB..BCL2L11 0.475790960895084 1 0.78073851507856 2
JCHAIN..IGH...ext 0.0120883680178824 1 0.255250540069902 3
ITGB7..IGH..ext 0.103500241815707 1 0.653122215595669 2
B2M..DUSP5 0.379566118257675 1 0.78073851507856 3
IGL...ext..AHNAK 0.814707004715918 1 0.840197481602026 3
MRPS16..CFAP70 0.777786883795167 1 0.838909625154315 2
TXNDC5..EEF1E1 0.327663492863483 1 0.78073851507856 3
AL023574.1..MAOA 0.379566118257675 1 0.78073851507856 3
TXNDC5..JCHAIN 0.777786883795167 1 0.838909625154315 2
AC245060.7..IGH...ext 0.814707004715918 1 0.840197481602026 3
MIR650..IGH. 0.379566118257675 1 0.78073851507856 3
IGL...ext..NCL 0.379566118257675 1 0.78073851507856 3
TXNDC5..KLF2 0.379566118257675 1 0.78073851507856 3
IGL...ext..RPL13AP5 0.379566118257675 1 0.78073851507856 3
CHP1..IGH..ext 0.814707004715918 1 0.840197481602026 3
MAP2K5..IQCH 0.475790960895084 1 0.78073851507856 2
TXNDC5..BLOC1S5 0.777786883795167 1 0.838909625154315 2
IGH...ext..FLNA 0.475790960895084 1 0.78073851507856 2
IGH...ext..RPL4P4 0.327663492863483 1 0.78073851507856 3
IGL...ext..PPP6R1 0.814707004715918 1 0.840197481602026 3
IGH...ext..NSD2 0.0331349272094427 1 0.407393061460198 3
AL669831.3..IGH..ext 0.379566118257675 1 0.78073851507856 3
IGH...ext..HSPA5 0.475790960895084 1 0.78073851507856 2
JCHAIN..IGL. 0.12430430217399 1 0.703332875311723 3
IGH...ext..PPIB 0.814707004715918 1 0.840197481602026 3
PKD1P6..IGLL5 0.327663492863483 1 0.78073851507856 3
IGH....SSR4 0.477829036550812 1 0.78073851507856 3
IGH...AC244205.1 0.475790960895084 1 0.78073851507856 2
IGH...ext..SPRED1 0.475790960895084 1 0.78073851507856 2
TSC22D3..IGH..ext 0.379566118257675 1 0.78073851507856 3
IGH...ext..ARHGEF28 0.34416880903913 1 0.78073851507856 3
IGH....MYEOV 0.34416880903913 1 0.78073851507856 3
ATG10..IGH..ext 0.475790960895084 1 0.78073851507856 2
IGL...ext..HBB 0.475790960895084 1 0.78073851507856 2
IGL...ext..EEF2 0.777786883795167 1 0.838909625154315 2
B4GALT1..BAG1 0.814707004715918 1 0.840197481602026 3
IGL....HSP90B1 0.0120883680178824 1 0.255250540069902 3
IGH....RPL4 0.475790960895084 1 0.78073851507856 2
YPEL5..SDC1 0.379566118257675 1 0.78073851507856 3
IGH....EEF1G 0.0120883680178824 1 0.255250540069902 3
CAMK1D..CDC123 0.475790960895084 1 0.78073851507856 2
IGL....RPL8 0.0120883680178824 1 0.255250540069902 3
IGH....FOSB 0.213954898061235 1 0.75295666048473 2
YPEL5..IGH..ext 0.814707004715918 1 0.840197481602026 3
PVT1..IGL. 0.475790960895084 1 0.78073851507856 2
GLCCI1..LTBR 0.213954898061235 1 0.75295666048473 2
IGH...EEF1A1 0.327663492863483 1 0.78073851507856 3
IGH...DDX5 0.690143659331323 1 0.838909625154315 1
IGH...C4A 0.00937122436600777 1 0.255250540069902 3
GLCCI1..UMAD1 0.327663492863483 1 0.78073851507856 3
IGH...EEF2 0.475790960895084 1 0.78073851507856 2
TRAM1..IGH..ext 0.34416880903913 1 0.78073851507856 3
TPM4..PTMA 0.327663492863483 1 0.78073851507856 3
TPM4..SIK1 0.777786883795167 1 0.838909625154315 2
TPM4..UBC 0.475790960895084 1 0.78073851507856 2
PVT1..EEF1E1.BLOC1S5 0.327663492863483 1 0.78073851507856 3
PVT1..IGL...ext 0.814707004715918 1 0.840197481602026 3
AC108134.4..IGH..ext 0.327663492863483 1 0.78073851507856 3
UBE2Q2..IGH..ext 0.814707004715918 1 0.840197481602026 3
ST3GAL1..NDRG1 0.0331349272094427 1 0.407393061460198 3
IGHGP..RPS11 0.690143659331323 1 0.838909625154315 1
IGH...SIK1 0.34416880903913 1 0.78073851507856 3
IGH...RPL10 0.475790960895084 1 0.78073851507856 2
AC009570.2..IGH..ext 0.477829036550812 1 0.78073851507856 3
SIK1..UBC 0.34416880903913 1 0.78073851507856 3
TPM4..BRD4 0.213954898061235 1 0.75295666048473 2
AC004009.1..AC007130.1 0.777786883795167 1 0.838909625154315 2
AC008063.1..IGH..ext 0.213954898061235 1 0.75295666048473 2
TNRC6B..FP236383.3 0.777786883795167 1 0.838909625154315 2
TMC3.AS1..IL16 0.777786883795167 1 0.838909625154315 2
TMEM131..ANKRD36 0.475790960895084 1 0.78073851507856 2
TMEM138..IGH..ext 0.322238423387682 1 0.78073851507856 1
TBC1D9..RNF150 0.475790960895084 1 0.78073851507856 2
