"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000173581"	"CCDC106"	-1.38495086707288	3.03683133483984	-11.4067989697557	9.06910929084416e-28	4.58262092466355e-25	52.1876184304611
"ENSG00000164742"	"ADCY1"	2.26731568841374	-1.61714370828312	11.3880040750828	1.08809544618977e-27	5.32078673186798e-25	51.9924302284385
"ENSG00000160691"	"SHC1"	0.732823116329254	7.50316432077331	11.3735676227333	1.25131385139199e-27	5.77370528983038e-25	51.5070631653938
"ENSG00000162704"	"ARPC5"	0.677506927948079	6.35349445527877	11.373107981551	1.25689210742399e-27	5.77370528983038e-25	51.4749923865745
"ENSG00000074590"	"NUAK1"	3.02424504623683	-1.74787205562421	11.3326083009472	1.85908956364961e-27	8.28880549863662e-25	51.4810996339656
"ENSG00000156140"	"ADAMTS3"	2.371874608337	-3.61582928640369	11.2570178025141	3.8503692091332e-27	1.66764990975e-24	50.6474778408819
"ENSG00000148399"	"DPH7"	-0.47093646443686	6.24922066099855	-11.2537610072623	3.9727715919e-27	1.67286790448922e-24	50.3352715557192
"ENSG00000166401"	"SERPINB8"	1.68385190519758	1.68071597607164	11.230650006763	4.95979099387242e-27	2.03203977503005e-24	50.5308191086331
"ENSG00000176978"	"DPP7"	-0.82978241342603	8.19847839502867	-11.2060775415685	6.27739408690855e-27	2.50418465693281e-24	49.9147824609953
"ENSG00000170677"	"SOCS6"	2.50133839602235	-0.0154677619046922	11.1726903789371	8.64079395851669e-27	3.3586101440296e-24	50.0186935105084
"ENSG00000103260"	"METRN"	-1.47291512849813	1.99986114160702	-11.1562365618567	1.01120731467982e-26	3.83222292080786e-24	49.8620126241676
"ENSG00000185274"	"GALNT17"	2.76257706276692	-4.42789073535828	11.1214050883495	1.40984221520626e-26	5.21263369275896e-24	49.3403004036546
"ENSG00000154914"	"USP43"	1.79992236976338	-4.75009942833506	11.1121976680765	1.53911624440462e-26	5.55511027355469e-24	49.2100521200201
"ENSG00000161647"	"MPP3"	2.0232115707314	-4.37702420584191	11.0818678216538	2.0541173032058e-26	7.24148004634808e-24	48.9589772649001
"ENSG00000154734"	"ADAMTS1"	2.9970491953713	-1.71755434237412	11.0556739709243	2.634483776183e-26	9.07639535526321e-24	48.8821861704508
"ENSG00000143502"	"SUSD4"	2.39032383731009	-3.57892792195739	11.0319347134608	3.29979294459612e-26	1.11159024993628e-23	48.5545781464734
"ENSG00000143368"	"SF3B4"	0.481259007430341	5.67136103229794	11.0235127446123	3.57392337291138e-26	1.15555921094493e-23	48.1655730614638
