gid	freq	variance	mutual_info	chi2_x	chi2_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000135775	5	0.005107117709312768	0.02576350429537655	2.0223146606125435	0.3637977017341722	False	False	False
ENSG00000171861	1	0.0010256399445121413	0.0	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000143839	2	0.0020491716876994887	0.015250541437234144	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000174792	1	0.0010256399445121415	0.0	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000090097	1	0.0010256399445121413	0.0	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000171014	3	0.003070595229562043	0.0	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000124102	2	0.0020491716876994887	0.0	0.5122364696832813	0.7740504436499978	False	False	False
ENSG00000173221	1	0.0010256399445121415	0.0	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000171401	3	0.0030705952295620427	0.0	0.35180690499839107	0.8386989537161759	False	False	False
ENSG00000130724	1	0.0010256399445121413	0.0	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000109193	8	0.008146089919002905	0.016426492785499347	2.9855494050022604	0.22474818023567217	False	False	False
ENSG00000112539	5	0.005107117709312768	0.004719648116650488	0.35180690499839107	0.8386989537161759	False	False	False
ENSG00000165462	2	0.0020491716876994887	0.01712617263258487	3.602227559674373	0.16511488414181452	False	False	False
ENSG00000135074	7	0.007135207383764318	0.021850395073595097	4.794050113199078	0.09098823590425492	False	False	False
ENSG00000118816	1	0.0010256399445121413	0.0	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000100220	2	0.0020491716876994887	0.02484820785438635	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000065357	2	0.0020491716876994887	0.0	2.3474903474903535	0.30920673708492136	False	False	False
ENSG00000134716	3	0.0030705952295620427	0.0	0.6769825918762009	0.7128449840087505	False	False	False
ENSG00000271601	3	0.005123983319911119	0.02487571240679043	2.0223146606125435	0.3637977017341722	False	False	False
ENSG00000131941	4	0.004089910570099801	0.015691185576238498	2.0309477756286025	0.3622307324229878	False	False	False
