"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000115526"	"CHST10"	-2.56890610154915	-1.92055702080781	-6.49997553149089	1.52352542680484e-10	3.49926090074766e-08	13.5361785107676
"ENSG00000126790"	"L3HYPDH"	0.820008032318688	3.97471590623486	6.49585331545211	1.56340333053682e-10	3.53725837128472e-08	13.1929160825725
"ENSG00000070601"	"FRMPD1"	-1.48732300245879	-3.63050054116453	-6.48645604261085	1.65817145027838e-10	3.69650309040736e-08	13.3888703651043
"ENSG00000120688"	"WBP4"	0.489334652567881	2.8213998375865	6.45180321057832	2.05876577146302e-10	4.52301888834897e-08	13.1194253737108
"ENSG00000117262"	"GPR89A"	-0.424093845826663	5.4302116389558	-6.44056893291669	2.207916615151e-10	4.78140113843915e-08	12.693328517037
"ENSG00000143776"	"CDC42BPA"	-2.22642480070899	-1.50934983418644	-6.40070583088765	2.82751516227922e-10	6.03694399225221e-08	12.9685502861971
"ENSG00000168056"	"LTBP3"	0.803086062498271	6.82092630087879	6.39196146892669	2.98465132276572e-10	6.28393463913966e-08	12.3685231995202
"ENSG00000196092"	"PAX5"	2.49580924261327	2.42670627357802	6.35449860334723	3.7602495284851e-10	7.80844145237064e-08	12.5689852816757
"ENSG00000101134"	"DOK5"	-2.25030202275521	-3.79931106142384	-6.35086583803835	3.84519531535434e-10	7.87693456560222e-08	12.6085922928451
"ENSG00000254585"	"MAGEL2"	-1.84317252315909	-5.48955858531232	-6.3436883232721	4.01858360934879e-10	8.12236119121577e-08	12.5078092116228
"ENSG00000163346"	"PBXIP1"	-0.802791594092443	7.99517194110013	-6.33308126632384	4.28890487036634e-10	8.55467222761623e-08	12.0525193465387
"ENSG00000168589"	"DYNLRB2"	-1.53067198054292	-4.06779027177528	-6.31954710349356	4.65976343208709e-10	9.09103135574868e-08	12.4104274632257
"ENSG00000196754"	"S100A2"	-1.68666899400107	-3.90300534809601	-6.31891772200207	4.67775213238602e-10	9.09103135574868e-08	12.4192874103524
"ENSG00000160714"	"UBE2Q1"	-0.328354121946187	6.85140694959836	-6.31480246439631	4.79705787654543e-10	9.13483842637937e-08	11.9046173610845
"ENSG00000118276"	"B4GALT6"	-1.92136515244895	-3.23113585977471	-6.31052792172367	4.9241318213328e-10	9.13483842637937e-08	12.3915334629733
"ENSG00000124302"	"CHST8"	-1.77773009297398	-5.17495646938305	-6.31018229724823	4.93454925026854e-10	9.13483842637937e-08	12.3207054367473
"ENSG00000187944"	"C2orf66"	-1.54416602036352	-3.87796537827028	-6.30811260589739	4.99738408930337e-10	9.13483842637937e-08	12.3547166984977
"ENSG00000152558"	"TMEM123"	0.80823778259584	7.82156827653931	6.307974858266	5.0015937026815e-10	9.13483842637937e-08	11.897134159628
"ENSG00000121904"	"CSMD2"	-1.63925845566322	-4.37384938243885	-6.29181042674006	5.52043408940461e-10	9.96241194777196e-08	12.2428857165057
"ENSG00000143549"	"TPM3"	-0.485038237984483	7.71387409835104	-6.28533353933918	5.74278357452606e-10	1.02417477889695e-07	11.7584937344917
"ENSG00000143195"	"ILDR2"	-2.10808893982605	-1.25629214300517	-6.2780897173286	6.00184220382378e-10	1.05792937171819e-07	12.261787570678
"ENSG00000197355"	"UAP1L1"	1.15102619054751	4.81128245555176	6.2745595134542	6.13219908379555e-10	1.06848282656617e-07	11.7792938304121
"ENSG00000154734"	"ADAMTS1"	-2.83415094527738	-1.71755434237412	-6.25921544781292	6.73169899727124e-10	1.15961164885949e-07	12.1429298338233
"ENSG00000159958"	"TNFRSF13C"	1.8372115607556	4.00625096011492	6.2481956625007	7.19722447294287e-10	1.21418765255278e-07	11.7555760192201
"ENSG00000112238"	"PRDM13"	-1.71310062799011	-5.023184730021	-6.24666512117403	7.26432115253794e-10	1.21418765255278e-07	11.9691288584126
"ENSG00000160447"	"PKN3"	1.03551111451647	1.15267684533847	6.24610993833476	7.28881036890976e-10	1.21418765255278e-07	12.0587051420012
"ENSG00000137434"	"C6orf52"	-0.983068244314456	-0.657414877909213	-6.23164038467905	7.95630386282926e-10	1.30244383411607e-07	11.9971435194746
"ENSG00000182150"	"ERCC6L2"	0.359544766460828	4.68024738477577	6.23093241020831	7.99045297003724e-10	1.30244383411607e-07	11.5126112028324
"ENSG00000146555"	"SDK1"	-2.51263844107836	-3.18766040416839	-6.22663777907027	8.20069573234082e-10	1.3224930490059e-07	11.9161187578776
"ENSG00000196576"	"PLXNB2"	1.08809811814952	6.31063008578013	6.21987549015748	8.54274794936004e-10	1.36278661737603e-07	11.3448576061497
"ENSG00000206190"	"ATP10A"	-2.17401466245838	-3.03873222736891	-6.21571171050713	8.76025666731608e-10	1.36278661737603e-07	11.8620281480188
"ENSG00000133026"	"MYH10"	-1.02078041729381	2.01118041536164	-6.2150135691377	8.79725239867014e-10	1.36278661737603e-07	11.8341759473631
"ENSG00000161647"	"MPP3"	-1.80591936411852	-4.37702420584191	-6.21477082407701	8.81015162628475e-10	1.36278661737603e-07	11.8157420463087
"ENSG00000162409"	"PRKAA2"	-2.01733458746711	-4.44075532566667	-6.21126039216306	8.9987719950352e-10	1.37790287548221e-07	11.7887513826895
"ENSG00000120913"	"PDLIM2"	1.25278155360939	2.20456714516564	6.1823123451263	1.07122216648103e-09	1.60282033199207e-07	11.5952268738056
"ENSG00000106991"	"ENG"	1.00148549493446	1.82045602170301	6.18014960099841	1.08523263137997e-09	1.60282033199207e-07	11.62658211694
"ENSG00000165802"	"NSMF"	0.850337882607158	4.45668659028266	6.1800253203309	1.08604315070933e-09	1.60282033199207e-07	11.2451027159827
"ENSG00000105810"	"CDK6"	-1.7066992720009	5.25420840598708	-6.17956364013885	1.0890592664106e-09	1.60282033199207e-07	11.2134098135864
"ENSG00000132478"	"UNK"	0.348844137085208	5.3582927066544	6.16441358716741	1.19270375609916e-09	1.73848040756799e-07	11.0484353461438
"ENSG00000140470"	"ADAMTS17"	-2.41192423980885	-1.15073644803327	-6.13484833498543	1.42344992403172e-09	2.05505499032351e-07	11.4365714759808
"ENSG00000186827"	"TNFRSF4"	1.94815307952163	0.806319417436036	6.12459431584649	1.51324205111319e-09	2.16017946855655e-07	11.3674631380191
